Year,Total Vaccinations (per hundred),Total Deaths (per million),Hospitalized Patients (per million),ICU Patients (per million),Positive Rate
2021,71.45,663.332,46.419,17.059,0.0224
2021,72.69,664.086,43.896,16.643,0.0213
2021,74.0,665.439,41.972,15.811,0.0207
2021,75.1,666.219,41.712,15.837,0.02
2021,76.08,666.557,40.776,15.421,0.0195
2021,77.25,667.233,40.152,14.641,0.0189
2021,78.41,667.675,38.279,14.095,0.0182
2021,79.63,667.961,36.095,13.367,0.0169
2021,80.95,668.715,34.43,13.21,0.0161
2021,82.34,669.444,33.052,12.768,0.0153
2021,83.44,669.782,32.168,12.69,0.0146
2021,84.35,670.068,32.636,12.43,0.014
2021,85.41,670.874,30.348,12.248,0.0134
2021,86.64,671.42,29.464,11.962,0.0127
2021,87.99,671.628,28.267,11.676,0.0121
2021,89.53,673.474,27.721,10.922,0.0116
2021,90.89,674.02,26.551,10.766,0.011
2021,92.04,674.462,26.109,10.662,0.0107
2021,92.98,674.644,26.031,10.298,0.0102
2021,94.81,675.087,25.485,9.804,0.0108
2021,96.34,675.477,24.341,9.726,0.0103
2021,97.92,675.763,23.352,9.362,0.0098
2021,99.13,676.543,22.156,9.076,0.0089
2021,100.6,677.089,21.584,8.66,0.0091
2021,101.54,677.687,21.116,8.166,0.0087
2021,102.38,678.233,21.064,8.036,0.0085
2021,103.94,678.467,20.804,7.853,0.0084
2021,105.2,678.779,20.544,7.489,0.0082
2021,106.51,678.961,20.284,7.255,0.0083
2021,108.13,679.299,18.802,7.151,0.0089
2021,109.55,679.455,18.229,7.073,0.0086
2021,110.5,679.923,18.567,7.151,0.0084
2021,111.25,680.262,18.229,7.255,0.0083
2021,112.56,680.496,17.683,6.735,0.0075
2021,113.64,680.73,17.215,6.475,0.0064
2021,114.75,680.756,16.773,6.163,0.0061
2021,115.89,681.016,16.279,5.825,0.0059
2021,117.02,681.198,15.473,5.487,0.0055
2021,117.8,681.536,15.655,5.435,0.0055
2021,118.39,681.978,15.785,5.461,0.0056
2021,119.5,682.056,15.239,5.331,0.006
2021,120.37,682.238,14.823,5.539,0.007
2021,121.38,682.342,14.693,5.565,0.0076
2021,122.37,682.446,14.173,5.435,0.0076
2021,123.29,682.576,13.288,5.097,0.0085
2021,123.94,682.914,13.236,4.889,0.0088
2021,124.46,683.252,13.731,4.967,0.0088
2021,125.47,683.382,13.367,4.915,0.0097
2021,126.2,683.46,12.846,4.811,0.0104
2021,126.92,683.564,12.976,4.889,0.0113
2021,127.62,683.746,12.898,4.759,0.0129
2021,128.29,684.006,12.664,4.447,0.0137
2021,128.76,684.136,12.352,4.161,0.0131
2021,129.14,684.474,12.534,4.213,0.0119
2021,129.39,684.63,12.664,4.369,0.0127
2021,130.11,684.682,12.924,4.421,0.017
2021,130.55,684.708,13.445,4.577,0.017
2021,131.04,684.864,14.173,4.499,0.019
2021,131.5,685.15,13.419,4.603,0.0204
2021,131.83,685.619,13.757,4.551,0.0216
2021,132.09,686.165,13.367,4.473,0.0257
2021,132.58,686.373,14.251,4.655,0.0262
2021,132.93,686.529,14.745,4.863,0.024
2021,133.29,686.737,15.421,5.383,0.0268
2021,133.69,686.893,16.097,5.305,0.0269
2021,134.07,687.023,16.643,5.565,0.0285
2021,134.37,687.127,16.409,5.773,0.0292
2021,134.63,687.257,16.981,5.903,0.0296
2021,135.05,687.335,18.489,6.319,0.0327
2021,135.41,687.335,19.088,6.449,0.0324
2021,135.74,687.465,20.232,6.631,0.0334
2021,136.09,687.855,21.584,6.995,0.0348
2021,136.43,688.921,22.832,7.073,0.0357
2021,136.69,689.519,20.31,5.851,0.0347
